,title,hits,hits_grade
4553,英国剑桥大学Stephen Evans教授来校交流并做客工程科学前沿讲坛,399,33.25
4554,英国利物浦大学先进制造技术首席教授来校交流并做客工程科学前沿讲坛,222,18.5
4555,新闻学院董天策院长等五位师生参加中国新闻史学会2018年学术年会,463,38.583333333333336
4556,学生职业发展与就业指导中心举办第十二期公职类基层训练营,196,16.333333333333332
4557,回顾历史 把握今天 拥抱明天,182,15.166666666666666
4558,人文社科高等研究院开展文字斋讲座：漫谈柳青及《柳青传》,257,21.416666666666668
4559,加强理想信念教育 培养立德树人中坚,357,29.75
4560,新闻学院访学团参加香港浸会大学第八届“普利策新闻奖得主”工作坊,338,28.166666666666668
4561,重庆市公安局魏丹一行到我校调研安保工作,6176,100.0
4562,环保接力行——记绿服队成功举办2018级纳新活动,186,15.5
4563,“伟大历程——回顾改革开放40年”资环学院研究生举办党团活动,196,16.333333333333332
4564,2018重庆大学“十一院联盟”球王争霸赛开幕仪式顺利举行,240,20.0
4565,法学院五彩石作文批改活动志愿者培训圆满完成,212,17.666666666666668
4566,法学院新生篮球友谊交流赛顺利开展,168,14.0
4567,心声交流，传递思想,157,13.083333333333334
4568,土木工程学院博士参加全国第五届青年地学论坛地质灾害与地质工程分会,269,22.416666666666668
4569,携手千禧代 有你更精彩,176,14.666666666666666
4570,漫道长阻路，再越新征程,283,23.583333333333332
4571,校史馆组织英文讲解培训,271,22.583333333333332
4572,党委常委会召开2018年第31次会议,1254,100.0
4573,“羽”你同行,192,16.0
4574,艺术学院邀请何建华老师为2019届研究生及本科毕业生开展求职技能讲座,378,31.5
4575,展开世界眼光，规划留学生涯,269,22.416666666666668
4576,重庆大学校友总会八届五次理事（扩大）会暨第九次会长论坛在天津召开,563,46.916666666666664
4577,图管会举办尚阅斋第34期阅读分享——毛姆“戴着镣铐的舞者”,157,13.083333333333334
4578,逸夫楼讲座之“中国音乐名作欣赏”,270,22.5
4579,张宗益校长到国际合作与交流处调研,1874,100.0
4580,重庆大学举行第二届大学生生涯体验周活动,427,35.583333333333336
4581,土木工程学院研团委会举办 “改革开放40周年”主题党团活动,172,14.333333333333334
4582,重庆大学研究生第三届“雅思任我行”活动顺利启动,261,21.75
4583,重庆大学艺术学院戚序教授受邀美国威廉帕特森大学讲学交流,1850,100.0
4584,化院团委学生会第一次全体大会暨化学化工学院团校开班仪式,266,22.166666666666668
4585,教育部高校思政理论课课程研究中心主任马雷作客“嘉陵论坛”第四期,305,25.416666666666668
4586,“物联网与智慧城市”等3个重点专项指南解读及项目申报动员会召开,539,44.916666666666664
4587,后勤管理处商贸服务中心党支部深入学习《中国共产党纪律处分条例》,224,18.666666666666668
4588,重庆大学获得第十五届全国流变学学术会议承办权,578,48.166666666666664
4589,学校召开2019中国肿瘤学大会筹备工作协调会,1627,100.0
4590,重庆大学知识产权信息服务中心到市知识产权局进行交流,415,34.583333333333336
4591,贵州省副省长带队来校开展人才招聘工作,613,51.083333333333336
4592,中国科学院固体物理研究所方前锋研究员来校交流讲学,367,30.583333333333332
4593,校史研究社开展新学期第一次纳新活动,188,15.666666666666666
4594,弘深学院开展2018级新生户外素质拓展活动,535,44.583333333333336
4595,房管处、资产公司到深圳协调重庆大学房产拆迁安置事宜,225,18.75
4596,自动化学院开展辅导员专题政治学习会,172,14.333333333333334
4597,大数据与软件学院召开“适应双一流建设，提升学院管理服务水平”研讨会,179,14.916666666666666
4598,建管学院17级造价一班开展“塑造灵魂、塑造生命、塑造新人”团日活动,207,17.25
4599,重庆大学建管学院二班开展团日活动,196,16.333333333333332
4600,校长办公室顺利完成支部换届选举,505,42.083333333333336
4601,“凝心聚力的使命任务”重庆站主题研讨会在重庆大学新闻学院举行,363,30.25
4602,机械工程学院新一届班主任选拔工作圆满完成,109,9.083333333333334
4603,重庆大学举行2018年“圆梦计划”分享会,379,31.583333333333332
